㮅	zhui1
㮆	nie4
㮇	tian4
㮈	nai4
㮋	you3
㮌	mian2
㮏	nai4
㮐	sheng3
㮑	cha1
㮒	yan1
㮓	gen4
㮔	chong4
㮕	ruan3
㮖	jia2
㮗	qin2
㮘	mao2
㮙	e4
㮛	chi2
㮜	zang1
㮝	he2
㮞	jie2
㮟	nian3
㮡	guan4
㮢	hou2
㮣	gai4
㮥	ben4
㮦	suo3
㮧	wu1
㮨	ji4
㮩	xi1
㮪	qiong2
㮫	he2
㮬	wen1
㮭	xian2
㮮	jie2
㮯	hun2
㮰	pi2
㮱	shen1
㮲	chou1
㮳	zhen4
㮵	zhan1
㮶	shuo4
㮷	ji1
㮹	zhi3
㮺	ben3
㮾	lang3
㮿	bi4
㯀	xuan4
㯁	pei2
㯂	dai4
㯃	qi1
㯄	zhi1
㯅	pi2
㯆	chan3
㯇	bi4
㯈	su4
㯉	huo4
㯊	hen2
㯋	jiong3
㯌	chuan2
㯍	jiang3
㯎	nen4
㯏	gu3
㯐	fang3
㯓	ta4
㯔	cui4
㯕	xi1
㯖	de2
㯗	xian2
㯘	kuan3
㯙	zhe2
㯚	ta1
㯛	hu2
㯜	cui4
㯝	lu4
㯞	juan4
㯟	lu4
㯠	qian4
㯡	pao4
㯢	zhen4
㯤	li4
㯥	cao2
㯦	qi2
㯩	ti4
㯪	ling2
㯫	qu2
㯬	lian3
㯭	lu3
㯮	shu2
㯯	gong4
㯰	zhe2
㯱	pao1
㯲	jin4
㯳	qing2
㯶	zong1
㯷	pu2
㯸	jin3
㯹	biao3
㯺	jian4
㯻	gun3
㯽	bin1
㯾	zao1
㯿	lie4
㰀	li2
㰁	luo3
㰂	shen3
㰃	mian2
㰄	jian4
㰅	di2
㰆	bei4
㰈	lian3
㰊	xian2
㰋	pin2
㰌	que4
㰍	long2
㰎	zui4
㰐	jue2
㰑	shan1
㰒	xue2
㰔	xie4
㰖	lan3
㰗	qi2
㰘	yi2
㰙	nuo2
㰚	li2
㰛	yue4
㰝	yi3
㰞	chi1
㰟	ji4
㰠	hang1
㰡	xie4
㰢	keng1
㰣	zi1
㰤	he1
㰥	xi4
㰦	qu4
㰧	hai1
㰨	xia1
㰩	hai1
㰪	gui1
㰫	chan1
㰬	xun2
㰭	xu1
㰮	shen4
㰯	kou4
㰰	xia1
㰱	sha4
㰲	yu1
㰳	ya4
㰴	pou3
㰵	zu2
㰶	you3
㰷	zi4
㰸	lian3
㰹	xian1
㰺	xia4
㰻	yi3
㰼	sha4
㰽	yan4
㰾	jiao4
㰿	xi1
㱀	chi3
㱁	shi4
㱂	kang1
㱃	yin3
㱄	hei1
㱅	yi4
㱆	xi1
㱇	se4
㱈	jin4
㱉	ye4
㱊	you1
㱋	que4
